Input,Predicted,Actual
haan1 voh1 ache1 character2 hein2,"i2 , . the2 . .",yeah1 she2 was2 a2 great2 character2 !
main1 itihaas1 ko1 googal1 karoonga1,"i2 , . . .",I2 will2 google2 the2 history2
"ROTTEN1 TOMATOES1 THO1 79% DIYA1 , JO1 OK1 HEI1","i2 , , it2 the2 , . . .",It1 ’ s2 seem2 to2 do1 OK1 on2 rotten2 tomatoes2 I2 got2 a2 79%
Interesting2 . I2 mean1 baaki1 jaise1 plot2 wrap2 up2 hote1 hai1 kaafi1 standard1 lagta1 hai1,"i2 , , it2 the2 , . . . <unk> . . .","Interesting2 . I2 mean2 , the2 way2 the2 rest2 of2 the2 plot2 wraps2 up2 seems2 pretty2 standard2 ."
"mein1 maantha1 hoon1 , safe2 hein2 pixar2 se2 bet1 karne1 , jo1 itna1 ache1 present2 jo1 kiya1","i2 , it2 the2 the2 , , , , the2 the2 the2 . . . . . .","I2 agree2 , it2 was2 a2 very2 safe2 bet2 for2 Pixar2 with2 how2 they2 presented2 it2 ."
Definitely2 ! tum1 bhi1 !,the2 is2,Definitely2 ! You2 too1 !
mein1 is1 ko1 chuna1 hoon1 kyon1 ki1 yeh1 easy1 se1 dekh1 saktha1 kahi1 baar1,"i2 , , it2 the2 , . the2 . . . . . . .",i2 picked2 this2 one2 bc2 its2 so2 easy2 ive2 seen2 it2 so2 many2 times2
brodee1 ke1 kadam1 jaise1 charitron1 ko1 dekhana1 achchha1 tha1 - haalaanki1 isane1 unake1 bete1 ko1 kaarravaee1 ke1 lie1 prerit2 karane1 ke1 lie1 sadame1 mein1 le1 liya1 .,"i2 , , it2 the2 , . , the2 . . . . . . .",It2 was2 nice2 to2 see2 characters2 such2 as2 Brody2 step2 up2 - though2 it2 took2 his2 son2 to2 go2 into2 shock2 in2 order2 to2 spur2 him2 to2 action2 .
Kya1 tumhare1 paas1 document2 hai2 ?,"what2 , a2",Do1 you2 have2 the2 document2 ?
Tumne1 kabhi1 tumhare1 dragon1 ko1 kaise1 train1 karna1 deka1 he1 ?,what2 you2 you2 the2 of2 the2 the2 ?,Have2 you2 ever2 seen2 How2 to2 Train2 Your2 Dragon2 ?
"plot2 really2 mein1 achchha1 hai1 , magic1 cheegain2 , talking2 animals2 , bilkul1 vaisa1 hee1 jaisa1 hamDisney1 se1 chaahate1 hain1","i2 , , it2 the2 , , , , , the2 , . the2 . . . . . . .","the2 plot2 is2 really2 good2 , magic2 things2 , talking2 animals2 , its2 exactly2 what2 we2 want2 from2 Disney2"
kya1 isane1 koee1 puraskaar1 jeeta1 ?,what2 you2 the2,Did2 it2 win2 any2 awards2 ?
"haan1 , puri1 movie2 mein1 kafi2 points2 par2 aisa1 laga1 ki1 kafi1 character1 ke1 liye1 it1 was2 over2","i2 , , it2 the2 , , , , , the2 . the2 . . . . .","It2 appeared2 to2 be2 over2 for2 many2 characters2 in2 this2 movie2 at2 different2 points2 , yeah2 ."
"jahaan1 se1 meine1 suna1 hai1 , angelina1 jolie1 ne1 bahut1 achcha1 perform1 kiya1 hain1 usme1 .","i2 , , it2 the2 , . , . the2 . . . . . .",from2 what2 i1 hear2 angelina2 jolie2 performed2 really2 well2 in2 it2
mein1 mantha1 hoon1 . lekin1 rotten2 tomatoes2 ka2 score2 se1 mein2 disappointment2 hoon2 . kyon1 ki1 yeh1 pixar1 ka2 first2 time2 hein2 prequel2 film2 ko1 banane1 mein1,"i2 , it2 the2 the2 , , , , , the2 , the2 , . the2 . the2 . . . . . . . . .","I2 agree2 . I'm2 slightly2 disappointed2 by2 the2 Rotten2 Tomatoes2 score2 . Then2 again2 , it2 is2 the2 first2 time2 that2 Pixar2 has2 made2 a2 prequel2 film2 ."
normally2 voh2 loner2 fighter2 type2 ke1 hein1,"i2 , . it2 .",normally2 he's2 always2 a2 loner2 fighter2 type2
main1 yahaan1 us1 baare1 mein1 nahin1 tha1 aur1 samudr1 tat1 par1 bhee1 drshy1 bahut1 daraavana1 tha1,"i2 , , it2 the2 , . , , the2 . . . . . .",I2 did2 not2 here2 about2 that2 and2 also2 scene2 on2 the2 beach2 was2 very2 scarey2
aaeetee1 is1 kathin1 tho1 maanana1 is2 disney's2 kho2 53rd2 enimeted2 film2 hai1 ! Ham1 ko1 bhohut1 kathin1 tha1 naam1 pehachaney1 phur1 oosi1 disney1 enimeted1 kadha1 phathar1 kho1,"i2 , , it2 the2 , . , . the2 . . . . . . . . . . . . . .",It's2 hard2 to2 believe2 this2 is2 Disney's2 53rd2 animated2 feature2 film2 ! I'd2 find2 it2 difficult2 to2 even2 name2 that2 many2 Disney2 animated2 features2 !
Ha1 Bahut1 hi1 majedar1 hai1 . Hum1 ko1 malum1 tha1 ki1 bat1 karna1 nahi1 chahete1,"i2 , , it2 the2 , . <unk> . . . .",haha1 that1 is2 funny2 . I2 figured2 that2 but2 didn't2 want2 to2 say2 .
Amy2 Poehler2 Regina2 George2 ki1 mom1 thi1 .,"i2 , . it2 .",Amy2 Poehler2 was2 Regina2 George's2 mom2
muje1 kuch1 sports2 pasand1 nahi1 hein1,"i2 , . it2 . . .",I2 don't2 like2 most2 sports2 though2
main1 bhi1 Tom1 Hanks2 fan2 hun1 !!!,"i2 , . it2 .",Im1 a2 big2 Tom2 Hanks2 fan2 too1 !!!
kiddy2 ke1 tarah1 kuch1 sound1 nahi1 aatha1,"i2 , . the2 . . .",does2 not2 sound2 kiddy2
Acting1 kaisa1 raha1,i2 .,how's2 the2 acting2
karib1 1 1/2 ghantha1 ka1 hein1,"i2 , . .",i2 would2 say2 about2 a2 hour2 and2 a2 half2
"Oh1 , wo1 toh1 bus1 shuruat1 hai1 . wo2 website2 itni2 popular1 hai1 ke1 isko1 Winklevoss2 twins2 ka2 attention1 mila1 , jo1 upper2 class2 men1 thay1 jinho1 ne1 Harvard1 ke1 liye2 exclusive2 dating2 website2 banayi1","i2 , it2 the2 the2 , , , , , the2 , the2 , . the2 . the2 . . . . . . . . . . . . . . . .","Oh1 , that's2 just2 the2 beginning2 . That2 website2 was2 so2 popular2 it2 got2 the2 attention2 of2 the2 Winklevoss2 twins2 , who2 were2 upper2 class2 men2 who2 made2 a2 dating2 website2 exclusive2 to2 Harvard2 . So2 the2 origins2 of2 the2 idea2 for2 the2 site2 are2 kind2 of2 vague2"
Haan1 mujhey1 kafi1 mazedaar1 laga1 . Wo2 animated2 hai1 isliye1 bacho1 ke1 liye1 accha1 hai1,"i2 , , it2 the2 , . <unk> . <unk> . .","Yes1 , I2 have2 I2 found2 it2 to2 be2 quite2 entertaining2 . It's2 animated2 so2 it's2 more2 geared2 toward2 children2 ."
IMAX2 sixty2 five2 mm1,"i2 , .",IMAX2 65 mm2
yeh1 sports2 ka1 hein1 ?,"i2 , a2",it2 also2 has2 sports2 ?
"haan1 mein1 yahi1 hi1 hoon1 , mein1 thoda1 slow2 typer1 hoon1","i2 , , it2 the2 , . . . . . .",Yeah1 im2 still2 here2 just2 slow2 typer2
Wo1 ek1 athletic2 specacle2 jesa1 tha1,"i2 , . the2 .",like2 it2 was2 an2 athletic2 specacle2
lekin1 philm1 javaan1 hai1,"i2 , .",but2 the2 movie2 is2 jaws2
monster2 hunter2 ke1 tarah1 kuch1 lag1 rahe1 the1 yaani2 fraternity2 ya2 sorority2 games2 ke2 taray1 jo1 scary2 games2 bolte1,"i2 , , it2 the2 , . . . the2 . . . . . .",Looks2 like2 monster2 Hunter2 has2 something2 like2 fraternity2 or2 sorority2 games2 called2 scary2 games2
"beshak1 ye1 drama2 hai1 . Zuckerberg2 aur2 current2 staff2 ka1 koi1 involvement2 nahi2 tha1 movie1 banane1 , isme1 kuch1 dark2 irony2 hai1 lekin1 ek2 founder2 , Eduardo2 Saverin2 ne1 book2 ke2 author2 se1 mulaqat1 ki1","i2 , , it2 the2 , . , , the2 , . . . . . . . . . . . . . . . . . . . . .","No2 doubt2 , It2 is2 a2 drama2 . Zuckerberg2 and2 the2 current2 staff2 weren't2 involved2 in2 making2 the2 movie2 , it2 has2 a2 kind2 of2 dark2 irony2 , but2 one2 of2 the2 founders2 , Eduardo2 Saverin2 , was2 consulted2 by2 the2 book's2 author2 ."
ise1 online2 rent1 pe1 liya1 gaya1 . Party1 karte1 hain1 .,"i2 , , it2 the2 . . .",Rented2 it2 online2 . It's2 a2 party2 !
Kya1 ve1 tumhare1 favorites2 me2 se1 ek1 hai1 ?,"it2 , a2 the2 a2 <unk> .",A1 re1 they2 one2 of2 your2 favorites2 ?
Steven2 Spielberg2 ne2 isey1 direct1 kiya1,"i2 , .",directed2 by2 Steven2 Spielberg2
"Chhote1 bacchon1 ke1 liye1 haan1 , unko1 nightmares2 aa1 sakte1 hain1 .","i2 , , it2 the2 , . . . .","For2 small2 children2 , yes2 . I2 could2 see2 them2 having2 nightmares2 ."
Anna1 Ek1 Rajkumar1 Hai1,"i2 , .",Anna2 is2 a2 princess2
kya1 hum1 isse1 movie1 ke1 bare1 mai1 charcha1 ker1 sakte1 hai1 ?,what2 you2 you2 the2 of2 the2 the2 ? ?,Can2 we2 talk2 about2 other2 movies2 or2 just2 this2 one2 ?
muje1 laga1 ki1 tu1 enjoy1 karega1,"i2 , . the2 . . .",I2 think2 you2 will2 enjoy2 it2 .
Oh1 ok1 mujhe1 lagta1 hai1 mujhe1 ye1 yaad1 hai1,"i2 , , it2 the2 . . . .",Oh1 ok1 I1 think2 I2 remember2 that2
"Mujhe1 lagta1 hai1 ki1 mujhe1 action1 sabse1 achhi1 lagti1 hai1 . aur1 maine1 sirf1 ek1 baar1 Maleficent2 dekhi1 hai1 ... jabki1 storyline1 bahut1 achhi1 thi1 , main1 isse1 phir1 se1 nhi1 dekhna1 chahta1","i2 , it2 the2 the2 , . , , , , the2 , the2 , . the2 , . <unk> , . . . . . . . . . . .","I2 like2 the2 action2 ones2 best2 I2 think2 . and2 ive2 only2 seen2 Maleficent2 once2 .... while2 the2 storyline2 was2 great2 , I2 am1 not2 complelled2 to2 watch2 it2 again2 ."
oh1 wow1 mujhe1 nahi1 pata1 tha2 universal2 had2 their2 hands2 in2 animation2,"i2 , , it2 the2 , . . . . . . .",oh1 wow1 i1 didn't2 know2 universal2 had2 their2 hands2 in2 animation2 .
aur1 kya1 aap1 kalpana1 kar1 sakate1 hain1 ki1 shaark1 prooph1 kej1 mein1 aisa1 kya1 tha1 ? main1 kisee1 aise1 vyakti1 ko1 jaanata1 hoon1 jisane1 ek1 baar1 aisa1 kiya1 tha1 . unhonne1 kaha1 ki1 ve1 ise1 phir1 kabhee1 nahin1 karenge1 !,"it2 , is2 the2 of2 the2 <unk> the2 , the2 . the2 . . . <unk> . . . . <unk> . <unk> . <unk> . <unk>",And2 can2 you2 imagine2 what2 it2 was2 like2 getting2 in2 a2 shark2 proof2 cage2 ? I1 know2 someone2 who2 did2 that2 once2 . They2 said2 they'd2 never2 do2 it2 again2 !
han1 yar1 yeh1 toh1 espionage2 movie2 nikla1 . bahut1 excite1 hein1 usme1 . muje1 lagtha1 hein1 ki1 usme1 kuch1 drama1 apni1 boarding2 school2 ka2 experiences2 mein1 se1 likha1 hoga1 aur1 morcom1 mein1 padne1 se1 likha1 hoga1 jo1 uska1 mentor2 tha1,"i2 , it2 the2 the2 , . , , , the2 , the2 , . the2 . the2 . . . . . . . . . , . , . <unk> . . . . . . .","It2 is2 really2 more2 of2 an2 espionage2 movie2 . It2 is2 pretty2 exciting2 . I2 guess2 there2 is2 some2 drama2 with2 his2 experiences2 in2 boarding2 school2 and2 studying2 with2 Morcom2 , his2 mentor2 ."
"nahi1 , mujhe1 batao1 uske1 baare1 me1","i2 , . the2 . . .","no2 , tell1 me1 about2 that2"
Hey1 !,i2 .,Hey1 !
mene2 movie2 like2 ki1 lekin1 mission1 ki1 vajah1 se1 jo1 tumne1 mention1 kiya1 . kya1 tume1 ise1 like1 karte1 ho1 ?,"i2 , a2 the2 a2 , <unk> , . the2 . <unk> . . <unk> .",I2 liked2 the2 movie2 because2 of2 the2 mission2 you2 mention2 . Did1 you2 like2 it2 ?
achchhee1 tarah1 se1 sabhee1 philm1 par1 nirbhar1 karata1 hai1,"i2 , , it2 . <unk> .",well2 all2 depends2 on2 the2 movie2
Achcha1 .,i2 .,good2
Ye1 ek1 accha1 combination2 sound2 hota1 hai1 .,"i2 , . the2 . . .",sounds2 like2 a2 good2 combination2
Mujhe1 pirates2 of2 the2 Caribbean2 sabhi2 Disney1 ' movies2 se1 zyada1 pasand1 hai1,"i2 , , it2 the2 , . . . . . .",I2 like2 pirates2 of2 the2 Caribbean2 more2 than2 all2 the2 other2 Disney2 '
Rotten2 Tomatoes2 ka2 duara1 accha1 review2 diya1 gaya1 hai1 !,"i2 , , it2 the2 <unk> . .",Not2 a2 bad2 review2 for2 Rotten2 Tomatoes2 ! I2
kya1 you1 seen2 it1 pahle1 ?,"what2 , a2",Have2 you2 seen2 it2 before2 ?
ache2 interesting2 sound2 kartha1,"i2 , .",sounds2 interesting2 .
haan1,i2 .,yeah1
Maine1 ye1 Pehla1 bhi1 kia1 hai1 aur1 har1 baar1 je1 3 rating2 system2 dete1 hain1,"i2 , , it2 the2 , . <unk> . . .",I've2 done2 this2 before2 and2 usually2 they2 provide2 3 rating2 systems2
Han1 ! Isme1 kuch1 aur1 bade1 naam1 bhi1 hain1 jo1 star2 kar1 rahe1 hain1,"i2 , , it2 the2 , . <unk> . . .",Yes2 ! There2 are2 some2 other2 big2 names2 starring2 in2 it2 too1 !
har1 kisi1 ka1 hope1 hein1,"i2 , . .",One2 can2 only2 hope2 .
"us1 bhayaanak1 yuddh1 ke1 dauraan1 jeevan1 kaisa1 tha1 , yah1 nishchit1 roop1 se1 achchha1 tha1 . yah1 aapake1 saath1 achchhee1 chaiting1 hai1 , mujhe1 maza1 aaya1 .","i2 , it2 the2 the2 , , , , , the2 , the2 . the2 . the2 . . . . . . . . . .","It2 was2 definitely2 a2 good2 look2 into2 what2 life2 was2 like2 during2 that2 horrible2 war2 . It's2 been2 good2 chatting2 with1 you1 , I2 enjoyed2 ."
kya1 aapko1 get2 bogged2 down2 in2 treacle2 ke1 baare1 mein1 kuch1 patha1 hein1 ? muje1 uska1 review2 bhi1 nahi1 patha1 hein1,"the2 , is2 the2 of2 the2 <unk> the2 , the2 the2 . the2 . <unk>","Do1 you1 know1 what2 it2 means2 to2 "" get2 bogged2 down2 in2 treacle2 ""? I2 don't2 know1 what2 to2 make2 of2 that2 review2"
Maine1 hamesha1 yeh1 interesting2 paya1 ki1 actors2 kis2 type2 ka1 demands2 kar1 sakte1 hai1 . Mujhe1 lagta1 hai1 wo1 sab1 ke1 sath1 thik1 se1 fit1 hai1 .,"i2 , , it2 the2 , . . . the2 . . . . . . . . . . . .",I2 always2 find2 it2 interesting2 to2 see2 what2 sort2 of2 demands2 actors2 can2 get2 into2 . I2 think2 he2 fit2 in2 with2 everyone2 else2 really2 well2 .
Kya1 aapko1 Frozen1 pasand1 hai1 ?,"what2 , a2",do1 you2 like2 frozen2 ?
LOL2,bruce2 .,LOL2
yek1 aadmi1 jo1 R's2 ka1 ghul1 hein1,"i2 , , it2 . .",a2 man2 named2 Ra's2 al2 Ghul1
lagtha1 hein1 ki1 movie2 thoda2 heavily2 cartoon2 fraternities2 hoga2,"i2 , , it2 the2 <unk> . .",Looks2 like2 this2 movie2 is2 pretty2 heavily2 based2 on2 cartoon2 fraternities2 .
me1 sure1 nahi1 hoon1 . Agar1 usne1 nahi1 jeeta1 to1 voh1 sure1 deserve2 karta1 he1 .,"i2 , . the2 the2 , , , the2 . . . . . . . .","I'm2 not2 sure2 . If2 he2 didn't2 , he2 sure2 deserved2 it2"
Bahut1 badiya1 performance1 hai1,"i2 , .",Incredible2 performance2
"yeh1 tho1 animation2 ka1 hein1 , iska2 voiced2 tho1 Jay1 Baruchel2 ( yaani1 Hiccup2 Horrendous2 Haddock2 III2 ) aur1 Gerad2 Butler2 ( stoick2 the2 vast2 ) ne1 deya1","i2 , , it2 the2 , . . . the2 . . . . . . . . . . . . .","It2 is2 animation2 that2 is2 voiced2 by2 Jay2 Baruchel2 ( Hiccup2 Horrendous2 Haddock2 III2 ) and2 Gerard2 Butler2 ( Stoick2 the2 Vast2 ),"
aur1 history1 kaha1 li1 gaya1 hein1 ?,"it2 , a2 the2 .",And2 where2 does2 the2 history2 take2 place2 ?
sunne1 par1 interesting2 lagta1 hai1 . Kya1 ye2 kid-friendly2 hai2 ?,what2 .,It2 sounds2 interesting2 . Is1 it2 kid-friendly2 ?
tum1 here1 ?,"i2 ,",you2 here2 ?
"Woh1 ladki1 chalne1 wali1 sadharan1 hai1 . Reese2 Witherspoon2 ki1 tarah1 , lekin1 jyada1 indiana1 aur1 kum1 Texas2","i2 , , it2 the2 , , , , the2 , . . . . . . .","She2 is2 kind2 of2 a2 walking2 plattitude2 . Kind2 of2 like2 Reese2 Witherspoon2 , but2 more2 indiana2 less2 texas2"
Movie1 ke1 baare1 mein1 kya1 hai1 ?,what2 you2 the2 the2 ?,what2 is2 the2 movie2 about2 ?
"oh1 yah1 thik1 tha1 , vah1 teen1 saal1 ke1 liye1 jail1 gaya1 vah1 jayada1 time1 nahi1 hota1 achyar1 use1 sach1 me1 dukh1 hua1 apni1 jingi1 ka1 ya1 keval1 paise1 barbad1 hone1 ka1","i2 , it2 the2 the2 , . , , , the2 , the2 , . the2 . the2 . . . . . . . . . . . . .",Oh2 well2 that's2 good2 . I1 see1 he2 went2 to2 jail2 for2 3 years2 . That's2 not2 too2 long2 . I2 wonder2 if2 he2 truly2 regrets2 ruining2 his2 life2 or2 just2 regrets2 losing2 all2 the2 money2 .
aapko1 bhi1,i2 .,You1 too1 !
kyy2 ank1 doge1 iss1 cinema1 par1 ?,"the2 , a2 the2",What2 would2 you2 rate2 the2 movie2 ?
"haa1 , mere1 khayalhai1 ki1 ye1 bahut1 achi1 baate1 hai1","i2 , , it2 the2 . . . . . .","yes1 , I1 think2 this2 is2 a2 good2 chat2 ."
"cda1 tho1 is2 movie1 ke1 liye1 stands2 kiye2 ... clearly2 , kuch2 enforcer2 form2 kare1 aur1 monster2 ke1 paas1 kis1 taray1 ka2 enforcer2 hein2","i2 , , it2 the2 , <unk> , . the2 . . . . . . . . . .","Wonder2 what2 CDA2 stands2 for2 in2 this2 movie2 . Clearly2 , it's2 some2 form2 of2 an2 enforcer2 but2 what2 type2 of2 enforcer2 does2 a2 monster2 have2 ?"
Tumhe1 pata1 hai1 Frozen2 mein2 ek1 scene1 hai1 jahan2 Rapunzel2 aati1 hai1 ?,"it2 , is2 the2 a2 , <unk> . . .",did2 you1 know2 that2 there2 is2 a2 scene2 where2 rapunzel2 appears2 in2 Frozen2 ?
kya1 vah1 apane1 munh1 mein1 gais2 taink1 ke1 saath1 mar1 jaata1 hai1 ?,"the2 , is2 the2 of2 the2 the2 the2 .",he2 dies2 with2 a2 gas2 tank2 in2 his2 mouth2 right2 ?
yeh1 tho1 sad1 hote1 jaa1 raha1 hein1 is2 point2 mein1,"i2 , , it2 the2 , . . . . .",It's2 getting2 sad2 at2 this2 point2
Main1 aisa1 hi1 guess1 karta1 hun1 . Un1 dono1 ki1 polar2 opposite2 personalities2 hain2 . Ek2 humble2 farmboy2 hau2 aur1 dusra1 rich2 executive2 hai2 .,"i2 , , it2 the2 , . . . the2 . . . . . . . . . .",I2 guess2 so2 . They2 do2 have2 polar2 opposite2 personalities2 . One2 is2 a2 humble2 farm2 boy2 and2 the2 other2 is2 a2 rich2 executive2
"mein1 inception2 dekha1 hoon1 , badiya1 movie1 hein1","i2 , , it2 . . .","I've2 actually2 seen2 Inception2 , and2 it2 is2 a2 great2 movie2 !"
"KYA1 KOI1 AISE1 SOCHTE1 KI1 , UNKA1 LIFE1 KA1 GLORIFIED2 , JO1 VAAKAHI1 MEIN1 ACHE1 ATTENTION1 NAHI1 MILA1 , LOL1","i2 , , it2 the2 , . , , the2 , . . . . . . . . .",Anyone2 who2 thinks2 this2 glorified2 his2 life2 did2 not2 really2 pay2 attention2 lol2
ise1 janata1 ke1 saamane1 kaise1 pesh1 kiya1 jae1 .,"i2 , . the2 . . .",Of2 how2 to2 present2 this2 to2 the2 public2 .
HAAN1 VOH1 THO1 HEIN1,"i2 , .",yes1 he2 was2
Shawn2 Levy2,i2 .,Shawn2 Levy2
lagta1 hai1 k2 veh1 pyar1 se1 jyada1 kya1 nahi1 kar1 sakta1,"i2 , , it2 the2 , . . . .",seems2 more2 like2 wanting2 what2 he2 cant2 have2 than2 love2
"next2 scene2 mein1 wo1 mention1 karte1 hain1 ki1 ladki1 ki1 maa1 kaise1 boy1 ke1 letters2 ladki1 se1 hide1 karti1 hai1 , kyunki1 wo1 nahi1 chahti1 uski1 beti1 uske1 sath1 rahe1","i2 , it2 the2 the2 , . , , , the2 , the2 , . the2 . the2 . . . . . . . . . . .","the2 next2 scene2 they2 mention2 is2 how2 the2 girl's2 mother2 hides2 the2 boy's2 letters2 from2 her2 , because2 she2 doesn't2 want2 her2 daughter2 to2 be2 with2 him2"
Aap1 bhi1 !! dhanyavaad1,"i2 , .",You1 too1 !! Thank1 you2
moonstone2 yis2 nav1 ke1 liye1 dilchusp1 nam1 lega1,"i2 , is2 the2 .",Moonstone2 seems2 like2 an2 interesting2 name2 for2 a2 boat2
aap1 ?,what2 you2 to2,Have2 you2 ?
ok1 samja1 ! Thor1 ka1 baayi1 . Aap1 dekha1 hi1 kya1 pehle1 dho1 movies2 ko1 ?,"the2 , is2 the2 of2 the2 , the2 , the2 . the2",Ah1 I1 see2 ! Thor's2 brother2 . Have2 you2 seen2 the2 first2 two2 films2 ?
voh1 toh1 hilarious2 hein2,"i2 , . .",he2 is2 hilarious2 .
kya1,what2 you2,?
Ye2 third2 movie2 ke1 liye1 plot2 open1 karta1 to1 hai1 lekin1 would2 rather2 see2 a2 cliffhanger2 than2 the2 enemy2 win2 .,"i2 , , it2 the2 , . . . the2 . . . . . . . . .",It2 does2 open2 up2 the2 plot2 to2 a2 third2 movie2 but2 would2 rather2 see2 a2 cliffhanger2 than2 the2 enemy2 win2 .
haha1 sorry1 mera1 internet1 ek1 second1 k1 liye2 glitchy2 hogaya1,"i2 , , it2 the2 . . . . .",haha1 sorry1 my2 internet2 got2 glitchy2 for2 second2
KAAFI1 ACHE1 SCENE1 HEIN1 IS1 NEW2 PARAGRAPH1 MEIN1,"i2 , , it2 . <unk> .",that2 was2 a2 pretty2 good2 scene2 ( the2 new2 paragraph2 )
"mera2 opinion2 se2 79% kids2 movie2 tho1 itna1 bad1 nahi1 rahatha1 , us1 key2 scenes2 ke2 read1 karne1 ke1 baath1","i2 , , it2 the2 , . . . the2 . . . . . . . .",A1 79% on2 a2 kids2 movie2 doesn't2 seem2 too2 bad1 in2 my2 opinion2 after2 reading2 the2 key2 scenes2 .
kya1 tum1 film1 dekhne1 mein1 interested2 ho1 ?,what2 you2 the2 the2 of2,are1 you2 interested2 in2 watching2 the2 film2 ?
tho1 aap1 typically2 monster2 university2 movie2 ke1 tarah1 dekhte1 hein1 ?,what2 you2 you2 the2 of2 the2 the2 the2 ?,Do1 you2 typically2 watch2 movies2 like2 Monster's2 University2 ?
KYA1 AAP1 DUBARA1 DEKHNE1 KO1 PASAND1 KARENGE1 ?,"it2 , a2 the2 a2 the2",Do1 you2 think2 you2 would2 see2 it2 again2 ?
Ye1 role1 Keanu1 ko1 shayad1 fit1 ho1 jayega1,"i2 , . the2 . .",This2 role2 probably2 fit2 Keanu1 so2 well2
vah1 hole1 jo1 usko1 mila1 vah1 bahut1 romanchkari1 tha1,"i2 , , it2 the2 . . . . .",that2 hole2 that2 he2 found2 was2 quite2 exciting2
"Oh1 cool1 , kaunsi1 war1 ?","what2 , a2 the2","Oh1 cool1 , what2 war2 ?"
scene1 1 ke1 baare1 mein1 aapka1 kya1 upai1 hein1,"the2 , is2 the2 of2 the2",What2 do2 you2 think2 of2 scene2 1
vo1 aadmi1 tho1 poori1 tarah1 se1 kutta1 jisa1 acting1 kar1 raha1 hi1,"i2 , , it2 the2 . . . .",He2 acts2 almost2 like2 a2 dog2
"Dona1 hai1 , par1 action1 jayada1 hai1","i2 , . the2 . .","Both2 , but2 mostly2 action2 ."
yah1 bhee1 pata1 chala1 ki1 vah1 samalaingik1 hai1 !,"i2 , , it2 the2 . . .","also2 , turns2 out2 he2 is2 gay2 !"
Spielberg2 movie2 ke1 liye1 yah1 rating2 appropriate2 lagta1 hai1 .,"it2 , is2 the2 of2 the2 .",The2 ratings2 for2 the2 movie2 seem2 appropriate2 for2 a2 Spielberg2 movie2 .
"ah1 , acha1 tho1 isliye1 muje1 unhe1 nahi1 dekha1","i2 , , it2 the2 . . . . .","Ah1 , I1 see1 . Haven't2 seen2 either2 of2 those2 ."
hello1,yeses2 can2,hello1
aapako1 vaastav1 mein1 chaahie1 .,"i2 , .",You1 really2 should2 .
John2 Legend2 plays2 Keith2 woh1 band1 member2 hai1 . Shart1 laga1 sakta1 hoo1 hes1 a2 great2 bank2 member2 !,"i2 , , it2 the2 , . . . the2 . . . . .","John2 Legend2 plays2 Keith2 , he2 is2 a2 band2 member2 . I2 bet2 hes2 a2 great2 bank2 member2 !"
reviews2 kaise2 they2 ?,"what2 , a2",What2 were2 the2 reviews2 ?
Kya1 tumhe1 scientific2 movies2 h1 ?,"what2 , a2 the2",Do1 you2 like2 scientific2 movies2 ?
ILOKI1,bruce2 .,ILOKI1
little2 twisc2 nice2 tha2 poore2 Kryptonite2 ke1 sath1 isme1 bhi1,"i2 , , it2 the2 . . . .",Nice2 little2 twist2 with2 the2 whole2 Kryptonite2 in2 this2 too2
isliye1 maine1 pucha1 kya1 tum1 British2 ho2 :)2 mein1 tumhe1 offend1 nahin1 karna1 chahti1,"it2 , is2 the2 , <unk> , . the2 . <unk> . .",that's2 why2 I2 asked2 You2 if1 You2 were2 British2 :)2 I2 didn't2 want2 to2 offend2 You2
aap1 ise1 pasand1 kar1 sakate1 hain1 .,"the2 , .",you2 might2 actualy2 like2 it2 .
Suno1 zara1 . Kya1 tumne1 ise1 dekha1 hai1 ?,"it2 , is2 the2 of2 the2",HI1 there1 ! Have2 you2 ever2 seen2 this2 ?
heyy1,bruce2 can2,heyy1
"Haan1 , Mujhe1 nahi1 pata1 itne1 saare1 log1 hai1 usme1","i2 , , it2 the2 . . . . . .","Yes1 , I2 didn't2 know2 there2 were2 so2 many2 people2 in2 it2 ."
"Goodbye1 kehne1 ka1 time1 aagaya1 , baat1 kaarke1 accha1 laga1 .","i2 , , it2 the2 , . . . .","time2 to2 say2 goodbye2 , nice2 talking2 to2 you2"
Kya1 vah1 koee1 achchha1 hai1,"i2 , .",Is1 he2 any2 good2 ?
Accha1 Night2 Fury2 Hiccup2 ko1 chhod1 deta1 hai1 phir1,"i2 , , it2 the2 . . .","Okay1 , Night2 Fury2 freed2 Hiccup2 then2 ?"
DONO1 EK1 HI1 KE1 BARE1 ME1 HAI1,"i2 , . the2 .",both2 about2 the2 same2
hello1,yeses2 can2,hellooo1 !
"mein1 hamesha1 , book1 he2 prefer2 karthi1","i2 , . the2 . . . .",I2 always2 prefer2 to2 read2 the2 book2 first2 .
