Batman2 vs2 Superman2 	batman2 vs2 superman2 
Yea1 true2 but2 its2 all2 entertainment2 and2 from2 watching2 the2 film2 you2 learn2 of2 these2 people2 they2 are2 portraying2 and2 it2 strikes2 interest2 for2 you2 to2 do2 your2 own2 research2 after2 . 	haan1 sach1 me1 yar1 , lekin1 sabhi1 entertainment2 aur2 film2 watch1 karne1 se1 kaafi1 logo1 to1 sikh1 mil1 jaathe1 aur1 vo1 apne1 aap1 ko1 portray2 karte1 .. lekin1 research2 kare1 tho1 ache1 rehega1 
well2 wall2 street2 isn't2 anywhere2 near2 my2 area2 of2 interest2 so2 even2 if2 i2 watched2 it2 i1 doubt2 i'd2 do2 anything2 further2 	acha1 tho1 Wall2 street2 tho2 mera1 area2 of2 interest2 nahi1 hey1 , tho1 bhi1 mein1 watch1 karunga1 .. 
eh1 	eh1 
its2 personal2 preferenece2 	yeh1 mera1 personal2 preference2 hein2 
Sounds2 like2 your2 more2 into2 Documentary2 ? 	documentary2 ke2 tarah1 sound1 kartha1 , nahi1 ? 
it2 depends2 on2 the2 topic2 . animals2 yes2 , history2 yes2 , Modern2 Marvels2 not2 so2 much2 	topic2 ke2 depend2 hein2 ... animal2 , history2 , mordern2 marvels2 ke2 tarah1 thoda1 
I2 like2 all2 kinds2 of2 things2 from2 all2 different2 movie2 genres2 , Memories2 , Docs2 and2 even2 Cartoons2 like2 Family2 Guy2 and2 even2 Anime2 . 	muje1 aise1 different2 movies2 genres2 , memories2 , docs2 aur2 cartoon1 ko1 pasand1 hein1 jaise1 family2 guy2 aur1 anime1 bhi1 
ditto2 , but2 it2 has2 to2 really2 pique2 my2 interest2 . although2 i2 find2 family2 guy2 and2 other2 similar2 TV2 shows2 offensive2 , so2 i2 avoid2 them2 like2 the2 plague2 	ditto1 , lekin1 muje1 pique2 mein2 really2 interest2 hein2 .. although2 mein2 family2 guy2 hoon1 muje1 tv1 shows2 offensive2 hoon1 .. aur1 mein1 plague2 se2 avoid2 kartha1 
You1 know2 there2 meant2 to2 be2 funny2 but2 in2 a2 good2 way2 there2 all2 satire2 . It2 is2 the2 same2 thing2 if2 you2 watch2 Stand2 up2 comedians2 . 	voh1 tho1 funny1 ke1 liye1 hein1 , lekin1 ache1 satire2 hein1 .. agar1 aap1 standup2 comedians2 pasand1 hein1 tho1 aap1 dekh1 sakthe1 
i2 understand2 that2 its2 satire2 , but2 i2 still2 think2 they2 take2 it2 too2 far2 . so1 i1 don't2 watch2 it2 . i1 don't1 blast2 people2 who2 do2 , but2 i1 just2 try2 to2 avoid2 them2 	muej1 satire2 understand2 hein1 , lekin1 still1 muje1 sochne1 padtha1 .. mein1 nahi1 dekhta1 .. muej1 people1 ke1 saath1 blast2 karna1 pasand1 nahi1 lekin1 mein1 avoid2 karth2 
Stand2 up2 comics2 like2 Dave2 Chappelle2 and2 shows2 like2 Family2 Guy2 and2 South2 park2 are2 a2 good2 thing2 . Yea1 they2 make2 fun2 of2 serious2 topics2 but2 it2 is2 needed2 in2 today's2 society2 of2 cry2 babies2 . It2 brings2 people2 from2 all2 Cultures2 Race2 and2 and2 backgrounds2 together2 for2 a2 good2 laugh2 . 	dave2 chappelle2 ke1 tarah1 standup2 comics2 aur2 shows1 ke1 tarah1 family2 guy2 aur1 south2 park2 tho1 badiya1 thing1 hein1 .. voh1 fun1 serious2 topics2 ko2 made1 karthe1 , aajkal1 ke1 crying2 babies2 ke1 liye1 tho1 yeh1 chahiye1 ... isse1 people2 ko2 cultures2 race2 aur1 background1 donon1 ache1 aathe1 aur1 ache1 laugh1 bhi1 karthe1 
to2 each2 their2 own2 	apne1 aap1 ko1 
How2 does2 the2 Requester2 for2 this2 hit2 expect2 us2 to2 talk2 about2 one2 movie2 this2 long2 ? 	kaise1 is2 requester2 ko1 itna1 expect2 hamare1 paas1 hein1 jo1 yek1 movie1 ke1 baare1 mein1 itna1 lamba1 talk1 ? 
no2 idea2 	no2 idea2 
Hey1 , what's1 the2 movie2 name2 ? 	tho1 movie1 ka1 naam1 kya1 hein1 ? 
hello1 	hello1 
I2 am2 reading2 the2 document2 , lets2 see1 , ok1 RE1 AL1 STEEL1 	mein2 document2 pad2 raha1 tha1 , acha1 dekhta1 hoon1 , ok1 real2 steel2 
HAve1 you1 seen2 it2 ? 	kya1 aap1 dekhe1 ? 
Oh1 I2 remember2 that2 , I2 haven't2 seen2 it2 but2 it's2 about2 fighting2 robots2 . 	haan1 kuch1 yaad1 hein1 , lekin1 mein1 dekha1 nahi1 hoon1 , yeh1 kuch1 robots2 ka2 fight1 ke1 baare1 mein1 hein1 
Did2 it2 get2 good2 reviews2 ? 	kya1 uska1 reviews2 ache2 hein1 ? 
Interesting2 , in2 this2 write2 up2 , it2 does2 not2 mention2 robots2 until2 the2 last2 sentence2 	interesting2 yar1 ... voh1 last2 sentence2 tak2 , robots2 ko1 nahi1 mention1 kiya1 
Do1 you2 remember2 who2 starred2 in2 the2 movie2 ? 	aapko1 is1 movie1 ka2 starred2 yad2 hein1 ? 
The2 wolverine2 actor2 . Can't2 remember2 his2 name2 . 	wolverine2 actor1 , muje1 unka1 naam1 kuch1 yaad1 nahi1 hein1 
Hugh2 Jackman2 	hugh2 jackman2 
Yeah1 , that's2 it2 ! 	haan1 , 
Also2 stars2 Dakota2 Goyo2 , but2 I2 do2 not2 know2 her2 at2 all2 ( assuming2 iy2 is2 a2 woman2 ) 	dakota2 goyo1 , lekin1 muje1 unke1 baare1 mein1 kuch1 nahi1 patha1 
You2 never2 know2 these2 days2 with2 names2 but2 I'd2 guess2 you2 are2 right2 ! 	aaj1 ka1 deno2 mein1 , is1 naam1 aapko1 patha1 bhi1 nahi1 chaltha1 , 
That2 was2 probably2 Hugh's2 love2 interest2 in2 the2 movie2 . 	probably2 , voh2 hugs1 ka2 love2 interest2 hein2 is2 movie2 mein1 
Maybe2 not2 , the2 role2 is2 " Max2 ' 	maybe1 , nahi1 , uska1 role1 tho2 max2 
I2 think2 that2 is2 Hugh's2 kid2 in2 the2 movie2 . 	muje1 lagtha1 , is2 movie2 mein2 hugh's2 ka2 kid1 hein1 
so2 I2 guess2 we2 were2 wrong2 	muje1 lagtha1 humara1 guess2 wrong2 hein1 
Do1 you1 know1 how2 long2 it2 is2 ? I'm2 not2 that2 interested2 in2 super2 long2 movies2 anymore2 . 	tho1 aapko1 is1 movie1 ka1 long2 patha1 hein1 ? muje1 aise1 super2 long2 movies2 par1 koi2 interested2 nahi1 hein1 
also2 stars2 Evangeline2 Lilly2 ( woman2 for2 sure2 " 	Nicole2 Evangeline2 Lilly2 ( born2 August2 3, 1979)[1][2] is2 a2 Canadian2 actress2 and2 author2 . 
Yeah1 , that2 must2 be2 the2 love2 interest2 . 	Looking2 for2 the2 best2 Tumblr2 love2 quotes2 ? We2 have2 collected2 them2 here2 . These2 quotes2 about2 love2 are2 the2 best2 love2 images2 gathered2 from2 Tumblr2 . 
Did1 you2 like2 the2 movie2 	tamil1 
The2 plot2 makes2 it2 seem2 like2 WWE2 	It2 is2 fair2 to2 say2 that2 the2 WWE2 Universe2 is2 struggling2 to2 book2 in2 a2 non-kayfabe2 business2 and2 world2 . 
I2 haven't2 seen2 it2 . It2 looked2 ok2 in2 the2 previews2 though2 . 	If2 you1 want2 to2 get2 your1 movie2 noticed2 , you2 need2 an2 eye-catching2 trailer2 . Just1 follow2 these2 simple2 rules2 
how2 so2 ? 	i1 like1 
Fighting2 Robots2 	yes1 
From2 what2 I2 remember2 , this2 is2 in2 the2 future2 so2 instead2 of2 humans2 fighting2 , robots2 fight2 . 	yes1 i1 love1 my1 lover1 my2 life2 
and2 I2 guess2 Hugh2 used2 to2 be2 good2 at2 robot2 fighting2 but2 then2 they2 had2 some2 problems2 and2 they2 weren't2 good2 anymore2 . 	to2 change2 passtive2 
But2 then2 they2 find2 a2 better2 robot2 and2 are2 good2 again2 . 	yes1 
seemed2 like2 a2 simplistic2 popcorn2 movie2 from2 the2 previews2 	Simplistic2 popcorn2 movie2 from2 the2 previews2 jesa2 he1 
I2 guess2 not2 WWE2 , but2 boxing2 , less2 humans2 , just2 robots2 	Me1 sochta1 hu1 wwe1 nahi1 ne1 , par1 boxing2 , less2 human2 , just2 robots2 
yeah1 	Ha1 
Honestly2 it2 seems2 dumb2 , orobably2 why2 I2 did2 not2 see2 it2 	Honestly2 wo2 dumb1 jesa1 he1 , orobaly2 kyu1 me1 dekh1 nahi1 saka1 
probably2 made2 my2 disney1 too1 , so2 it2 could2 be2 a2 kiddy2 movie2 	Probably2 my2 disney1 ne1 bhi1 banaya1 tha1 , wo2 kiddy2 movie2 he2 
does2 not2 sound2 kiddy2 	Kiddy1 jesa1 sound1 nahi1 he1 
I2 don't2 think2 it2 was2 a2 mature2 movie2 though2 , it2 was2 marketed2 towards2 kids2 ( teens2 ) 	Me1 sochta1 nahi1 hu1 ki1 wo1 ek1 mature2 movie2 thi1 , wo1 kids2 ( teen2 ) ke1 baju2 marketed2 ki2 gai1 thi1 
not2 little2 kids2 	Chhote1 bacche1 nahi1 he1 
like2 the2 kind2 of2 movie2 you'd2 take2 a2 14 year2 old2 to2 	Movie1 ke1 jese1 aapne1 bhi1 chuda1 sal1 liye1 
In2 fact2 now2 that2 I2 read2 this2 , it2 sounds2 like2 one2 of2 the2 movies2 that2 is2 so2 stupid2 it2 might2 be2 " stupid2 enjoyable2 " 	In2 fact2 now2 mene1 padha1 tha1 , wo1 ek1 movie1 ki1 tarah1 wo1 bhi1 " stupid2 enjoyable2 " tha2 
Yeah1 , it2 definitely2 sounds2 like2 that2 . 	Haan1 , ye1 definitely2 aisa2 sound1 karta1 hai1 
probably2 a2 feel2 good2 movie2 where2 they2 conquer2 all2 	shayad1 ek1 feel2 good2 movie2 jahan1 wo1 sab2 conquer2 kar2 lete1 hain1 
Does2 it2 say2 what2 kind2 of2 problems2 they2 have2 in2 that2 document2 ? 	kya2 document2 mein2 batata1 hai1 unhe1 kis1 tarah1 ki1 problems1 huyi1 ? 
like2 what2 the2 main2 plot2 is2 about2 	jaisi1 ki1 main2 plot2 kiske1 baare1 mein1 hai1 
This2 also2 sounds2 like2 that2 , I2 think2 , Brad2 pitt2 movie2 about2 underground2 fight2 venues2 	ye1 waisa1 lagta1 hai1 , I1 think2 , Brad2 Pitt2 ki1 movie2 underground2 fight2 venues2 ke1 baare1 mein1 
yeah1 except2 nobody2 is2 crazy2 like2 the2 brad2 pitt2 character2 	haan1 sivaye1 ki1 koi1 bhi1 brad2 pitt2 ke1 character1 ki1 tarah1 crazy1 nahi1 hai1 
Illegal2 , mush2 be2 done2 out2 of2 the2 view2 of2 the2 law2 	Illegal2 , ye2 view2 of2 the2 law2 ke1 bahar1 kiya1 hoga1 
I2 don't2 think2 it2 was2 illegal2 	mujhe1 nahi1 lagta1 ye1 illegal2 hai1 
maybe2 though2 	shayad1 ho1 
I2 remember2 there2 were2 crowds2 of2 people2 cheering2 them2 on2 	mujhe1 yaad1 hai1 wahan1 logo1 ka1 jhund1 unhe1 cheer1 kar1 raha1 tha1 
like2 it2 was2 an2 athletic2 specacle2 	lagtha1 hein1 ki1 yeh1 athletic2 specacle2 hein2 
the2 write2 up2 says2 Now2 working2 as2 a2 small-time2 promoter2 , Charlie2 pieces2 together2 scrap2 metal2 into2 low-end2 fighters2 , barely2 earning2 enough2 to2 make2 it2 from2 one2 underground2 venue2 to2 the2 next2 . 	is2 write2 up2 kaha1 gaya1 hein1 ki1 ab1 small2 time2 promoters2 se2 work1 kare1 tho1 , charlie1 us2 scrap2 metal2 ko2 low2 end2 fighters2 dono2 pieces2 karega1 , barely2 uska2 earning2 ab2 yek1 underground2 venue2 jo2 next2 pe1 hein1 
yup2 that's2 the2 struggle2 	yup1 , voh1 tho1 struggle2 hein2 
then2 they2 find2 an2 amazing2 robot2 and2 get2 their2 revenge2 	fir1 , voh1 amazing2 robot2 ko1 find1 kartha1 aur1 usse1 revenge2 letha2 
so2 he2 starts2 out2 as2 illegal2 , then2 moves2 up2 in2 the2 world2 	tho1 voh1 illegal1 se2 startout2 kiya1 , aur1 world1 me2 movesup2 
makes2 sense2 	kuch1 sense1 hein2 
do1 you1 know2 if2 the2 robots2 have2 an2 intelligence2 ? 	kya1 robots2 ko2 intelligence2 hein2 ? 
Rotten2 Tomatos2 59% rating2 	rotten2 tomatoes2 ne2 59% rating2 de1 
who2 cares2 about2 rotten2 tomatoes2 , their2 reviews2 are2 worthless2 	kon1 rotten2 tomatoes2 ka2 care1 karte1 , unka1 reviews2 tho2 worthless2 hein2 
Says2 it2 was2 made2 by2 Dream2 Works2 , is2 that2 adisney2 company2 ? 	haan1 tho1 dream2 works2 ne1 banaya1 , kya1 voh1 adisney2 company2 ka1 hein1 ? 
look2 up2 your2 fav1 movies2 on2 that2 site2 and2 I2 guarantee2 you'll2 be2 disappointed2 by2 the2 low2 scores2 . 	MERA1 FAV1 MOVIES1 KO1 AGAR1 AAP1 DEKHENGE1 IS1 SITE1 MEIN1 THO1 MEIN1 GUARANTEE1 SE1 BOLUNGA1 KI1 AAP1 IS1 LOW1 SCORES1 KO1 DISAPPOINTMENT1 HONGE1 
no1 I2 think2 they2 compete2 with2 disney1 	NAHI1 , MUJE1 LAGTHA1 HEIN1 KI1 YEH1 DISNEY1 NE1 COMPETE1 KIYA1 HOGA1 
they2 make2 similar2 animated2 movies2 	VOH1 THO1 SIMILAR1 ANIMATED2 MOVIES1 BANATE1 
It2 seems2 Disney2 buys2 up2 everyone2 	MUJE1 LAGTHA1 DISNEY1 NE1 SABHI1 KO1 KHARIDI1 HOGA1 
yeah1 , they1 are2 a2 giant2 company2 . 	HAAN1 , YEH1 GIANT1 COMPANY1 HEIN1 
gives2 another2 rating2 of2 56% ( Metric2 score2 ) ??? 	METRIC2 SCORE1 NEH1 THO1 56% DIYA1 
that2 is2 probably2 a2 rating2 at2 a2 different2 site2 	YEH1 THO1 PROBABLY1 AUR1 KUCH1 SITE1 KA1 RATING1 HOGA1 
I've2 done2 this2 before2 and2 usually2 they2 provide2 3 rating2 systems2 	MEIN1 PEHELE1 BHI1 AISE1 KAR1 CHUKA1 HOON1 , USUALLY1 VOH1 3 RATINGS1 DETHE1 
rottoen2 tomatoes2 , something2 else2 then2 a2 cine2 something2 rating2 	ROTTEN1 TOMATOES1 AUR1 KUCH1 AUR1 CINE1 RATING1 DETE1 
Also2 stars2 Olga2 Fonda2 , is2 she2 related2 to2 Jane2 Fonda2 / Henry2 Fonda2 ? 	OLGA2 FONDA2 SE1 START1 HOTA1 , KYA1 VOH1 JANE1 FONDA1 / HENRY2 FONDA1 SE1 RELATED1 HEIN1 ? 
I2 have2 no2 idea2 	MUJE1 THO1 KUCH1 IDEA1 HI1 NAHI1 
Yes1 a2 CinemaScore2 : A2 	CINEMA1 SCORE1 NEH1 A1 DIYA1 
they2 always2 have2 suspiciously2 high2 ratings2 	THO1 KABHI1 BHI1 SUSPICIOUSLY1 HIGH1 RATINGS1 DETHE1 
seems2 like2 Olga2 was2 born2 in2 Russia2 , so2 no2 , much2 better2 looking2 than2 Henry2 or2 Jane1 	OLGA1 THO1 RUSSIA1 MEIN1 BORN1 HUVE1 THE1 , THO1 HENRY2 YA1 JANE1 SE1 BETTER1 HI1 LOOK1 HONGE1 
lol1 	LOL2 
I2 think2 we're2 done2 now2 , thanks2 for2 the2 chat2 ! 	MUJE1 LAGTHA1 HEIN1 KI1 MEIN1 DONE1 HOON1 AB1 , THANKS1 AAPSE1 CHAT1 KARNE1 SE1 
ok1 	OK1 
bye1 	BY1 
This2 movie2 is2 awesome2 ! 	Ye1 movie1 bahut1 achi1 hai1 ! 
What2 was2 the2 title2 of2 the2 movie2 ? 	Movie1 ka1 title1 kya1 hai1 ? 
Real2 Steel2 	Real2 Steel2 
Oh1 , who's2 in2 it2 ? 	Oh1 , vah1 kon1 hai1 ? 
Sounds2 like2 an2 action2 movie2 . 	Action2 movie1 ki1 tarah1 hai1 . 
Hugh2 Jackman2 	Hugh2 Jackman2 
I1 love2 Hugh2 Jackman2 !! 	Mujhe1 Hugh2 Jackman2 pasand1 hai1 !!! 
What2 year2 was2 it2 released2 ? 	Kon1 se1 year1 mei2 released2 hogi1 ? 
2011 	2011 
Is1 it2 an2 action2 or2 drama2 ? 	Ye1 action2 or2 drama2 movie2 hai1 kya1 ? 
its2 an2 action2 movie2 	Ye1 ek1 action2 filam2 hai1 
I2 thought2 so2 , sounds2 interesting2 . 	Mene1 bhi1 socha1 , bahut1 achchi1 baat1 hai1 . 
What2 score2 did2 Rotten2 Tomatoes2 give2 ? 	Rotten2 Tomatoes2 ne1 kya1 score2 diya1 ? 
59% 	59% 
That's2 pretty2 low2 ... but2 I2 don't2 always2 agree2 with2 critics2 ... 	Vah1 achcha1 hai1 ... Par1 mei1 hamesha1 aalochak1 se1 sahamat1 nahi1 hui1 ... 
People2 seemed2 to2 like2 it2 	Log1 isko1 pasand1 karte1 hai1 
Who2 directed2 the2 movie2 ? 	Filam1 ko1 kisne1 nirdeshit1 kiya1 hai1 ? 
Shawn2 Levy2 	Shawn2 Levy2 
Anything2 else2 you2 can2 tell1 me1 about2 the2 movie2 ? 	Tumko1 kuch1 or1 batana1 hai1 filam1 ke1 bare1 mei1 ? 
its2 like2 rocky2 but2 with2 robots2 	Ye1 rocky1 ke1 jesa1 hai1 par1 saath1 mei1 robots2 hai1 
Is1 Hugh2 Jackman2 a2 robot2 ? 	KYA1 HUGH1 JACKMAN1 ROBOT1 HEIN1 
Or2 does2 he2 play2 a2 human2 ? 	YA1 , VOH1 HUMAN1 KA1 ROLE1 PLAY1 KARTHA1 
You2 think2 it's2 a2 good2 movie2 to2 watch2 with2 kids2 ? 	KYA1 KIDS1 KE1 SAATH1 DEKHNE1 KE1 LIYE1 YEH1 ACHE1 MOVIE1 HEI1 ? 
he2 is2 a2 human2 	VOH1 HUMAN1 HEIN1 
yeah1 i1 do1 	HAAN1 MEIN1 BHI1 
I2 couldn't2 imagine2 Hugh2 Jackman2 as2 a2 robot2 ... lol1 	MUJE1 IMAGINE1 HI1 NAHI1 HOTA1 KI1 HUGH1 JACKMAN1 THO1 ROBOT1 HEIN1 ... LOL2 
Who2 else2 is2 in2 the2 movie2 ? 	AUR1 KON1 HEIN1 IS1 MOVIE1 MEIN1 
D2 akota2 Goyo2 	D1 AKOTA1 GOYA1 
I2 don't2 think2 I2 know1 who2 that2 is2 ... 	MUJE1 THO1 UNKE1 BAARE1 MEIN1 KUCH1 PATHA1 HI1 NAHI1 
yeah1 	YAH1 
Not2 a2 romantic2 date2 movie2 then2 ... 	romantic2 date2 movie2 nahi1 hein1 
I2 wouldnt2 say2 so2 	muje1 bhi1 nahi1 lagtha1 
Hello1 	Hello1 
Hello1 . How2 are2 you1 ? 	Hello1 . kaise1 ho1 aap1 ? 
I'm2 good2 . Did1 you2 enjoy2 the2 movie2 ? 	I'm2 good1 . kya1 tumne1 movie2 enjoy2 ki2 ? 
Yes1 , I1 love2 musicals2 , and2 you2 ? 	Yes1 , mujhe1 mai1 musicals2 pasand2 karta1 hu1 , aur1 tum1 ? 
I2 think2 they2 are2 tolerable2 , but2 this2 one2 was2 pretty2 good2 . 	mujhe1 lagta1 hai1 wo1 torerable1 hai1 , but1 yah1 wala1 bahut1 badhiya1 tha1 . 
I2 like2 that2 it2 was2 located2 in2 LA1 and2 made2 it2 pretty2 relatable2 . 	mujhe1 accha1 laga1 ki1 ye1 LA1 me2 located2 hai1 aur1 accha1 hai1 relatable1 hai1 . 
Do1 you2 live2 in2 L2 . A2 .? 	kya1 tum1 L1 . A1 . mein1 rahte1 ho1 ? 
Vegas2 	Vegas2 
Oh1 very1 cool1 . I'm2 in2 the2 South2 	Oh1 badhiya1 . Main1 South2 main1 hoon1 
Are1 you2 a2 Gosling's2 fan2 ? 	Kya1 tum1 Gosling2 ke2 fan1 ho1 ? 
Emma2 Stone2 fan2 ? 	Emma2 Stone2 ke1 fan1 ho1 ? 
I2 really1 like2 them2 both2 . Which2 is2 your2 favorite2 ? 	Mujhe1 donon1 acche1 lage1 . Tumhara1 favorite1 hai1 ? 
Both2 are2 good2 actors2 , Goslings2 more2 attractive2 . HA1 ! 	Donon1 acche1 actors2 hain2 . Goslings2 jyada2 attractive2 hai1 . HA1 ! 
What2 did2 you2 think2 of2 the2 film2 ’ s2 perspective2 on2 success2 and2 satisfaction2 ? 	tumhe1 film1 ke2 perspective2 ke2 bare1 mein1 kya1 lagta1 hai1 success1 aur2 satisfaction2 ? 
I2 think2 I2 lost2 you2 somewhere2 in2 the2 conversation2 . Since2 it2 has2 been2 5 minutes2 without2 a2 response2 from2 you1 , I2 am2 going2 to2 abandon2 the2 discussion2 . 	I2 think2 maine1 tumhe1 loose1 kar1 diya1 conversation2 mein1 . kyonki1 5 minutes1 hua1 tumse1 response2 nahin1 mila1 , main1 discussion2 ko1 abandon1 karta1 hoon1 . 
Have2 a2 great2 day2 	Aaj1 great1 din1 hoga1 . 
Thanks2 for2 the2 conversation2 	conversation2 ke1 liye1 danyawad2 . 
? 	kya1 
? 	kya1 
? 	kya1 
? 	kya1 
? 	kya1 
? 	kya1 
Hi1 . ' The2 Imitation2 Game2 ' is2 based2 on2 a2 true2 story2 about2 code2 breaking2 in2 WWII2 . Great2 reviews2 . 	Hi1 ' The2 Imitation2 Game2 ' ek1 sacchi1 ghatna1 par1 adharit1 he1 aur1 wo1 code2 breaking2 he2 WWII2 ka1 . Acha2 reviews2 hai2 . 
don1 	Don1 
it2 is2 about2 for2 good2 person2 	Ye1 ache1 insan1 ke1 liye1 he1 . 
It2 is2 about2 good2 people2 . It's2 a2 thriller2 , but2 actually2 happened2 . 	yeh1 toh1 ache1 log1 ke1 baare1 mein1 hein1 . voh1 thriller2 hein1 magar1 voh1 chal1 raha1 hein1 
hello1 	Hello1 
i2 would2 love2 to2 watch2 this2 movie2 	ye1 movie1 mujhe1 dekhne1 me1 pasand1 aayi1 
hello1 ! 	Hello1 ! 
have2 you2 seen2 it2 ? 	kya1 tumne1 use1 dekha1 hai1 ? 
Nope1 . But1 i1 want1 to2 . It2 seems2 very2 interesting2 and2 connects2 to2 most2 movies2 i1 have2 watched2 	Nahi1 , par1 me1 chahta1 hun1 . Ye1 bahut1 hi1 interesting2 hai1 aur1 meri1 dekhi1 hui1 bahut1 si1 movies2 se2 connect2 karti1 hai1 
so2 you2 are2 fan2 of2 these2 superhero2 movies2 as2 well2 ? 	so1 tum1 bhi1 in1 superhero2 movies2 ke1 fan1 ho1 ? 
yes1 i2 am1 	han1 main1 hun1 
i1 love1 the2 advangers2 movies2 	Mujhe1 avengers2 movies2 achi1 lagti1 hain1 
and2 the2 new2 wonder2 women2 	aur1 nayi1 wonder1 women2 
Do1 you2 think2 Ben2 Affleck2 makes2 a2 good2 Batman2 ? 	Kya1 tumhe1 agta1 hau1 Ben2 Affleck2 acha2 Batman2 lagta1 hai1 ? 
I2 think2 he2 is2 a2 little2 on2 the2 odler2 side2 	mujhe1 lagta1 hai1 wo1 thoda1 older2 side2 pe1 hai1 
but2 i2 still2 think2 he2 would2 be2 good2 for2 the2 part2 	par1 mujhe1 fir1 bhi1 lagta1 hai1 wo1 is1 part2 ke1 liye1 achah1 hoga1 
You1 will2 like2 him2 in2 this2 one2 for2 sure2 . 	tumhe1 ye1 for2 sure2 acha1 lagega1 
sweet2 	sweet2 
what2 are2 your2 thoughts2 about2 diana2 playing2 martha2 	diana1 ke1 martha1 play1 karne1 ke1 baare1 mein1 tumhare1 kya1 thoughts2 hain1 ? 
Nice2 little2 twist2 with2 the2 whole2 Kryptonite2 in2 this2 too2 	Whole2 Kryptonite2 ke2 bare1 mein1 bhi1 chota1 sa1 cha1 twist2 tha1 
Yea1 I1 don't2 mind2 Martha2 at2 all2 . 	han1 main1 Martha1 ka1 bura1 nhi1 manta1 . 
Yess1 !! Thats1 what2 i2 was2 thinking2 	Han1 !! Main1 wahi1 soch1 rha1 tha1 
You1 don't2 like2 martha1 as2 a2 character2 ? 	Tum1 Martha1 ke1 character1 ko1 pasand1 nhi1 krte1 . 
Yes1 I1 do1 	Han1 main1 krta1 huin1 
Oh1 okay1 	Oh1 thik1 hai1 
I2 do2 want2 to2 see2 this2 movie2 . Like2 i2 would2 like2 to2 see2 how2 the2 actors2 played2 the2 characters2 	Main1 yeh1 movie1 nhi1 dekh1 skta1 . Jaise1 mujhe1 dekhna1 achha1 lagega1 ki1 kaise1 actors1 apne1 characters2 play2 kr1 rhe1 hai1 
Batman2 rescued2 here2 in2 this2 movie2 	Iss1 movie1 mein1 bataman1 yahan1 bachaya1 gya1 tha1 
hopefully2 this2 went2 all2 out2 with2 the2 acting2 	Unmeed1 hai1 ki1 acting1 ke1 saath1 ye1 sab1 khatm1 ho1 gya1 
and2 graphics2 	aur1 graphics2 
and2 just2 everything2 to2 be2 honest2 	aur1 sab1 kuch1 honest1 hone1 ke1 liye1 
It's2 pretty2 good2 . It's2 about2 153 mins2 long2 	ye1 kafi1 good1 hai1 . Ye1 153 minute1 lambi1 hai1 
Yes1 and2 i1 see1 it2 sasy2 that2 it2 is2 in2 between2 man2 of2 steel2 and2 dark2 night2 	han1 aur1 mujhe1 ye1 sasy1 laga1 ki1 ye1 man2 of2 steel2 aur1 dark1 night2 ke1 beech1 mein1 hai1 
I2 liked2 the2 sneak2 peak2 of2 Wonder2 Woman2 in2 here2 too1 . 	muujhe1 isme1 Wonder2 Woman2 ka1 sneak2 peak2 bhi1 acha1 laga1 
She2 appears2 in2 it2 too1 ? 	wo1 bhi1 isme1 aati1 hai1 ? 
Yes1 . 	haan1 . 
It's2 pretty2 cool2 	ye1 kaafi1 acha1 hai1 
That2 would2 be2 great2 	ye1 great1 hoga1 
I2 think2 Zack2 Snyder2 did2 a2 great2 job2 directing2 it2 	mujhe1 lagta1 hai1 Zack2 Snyder2 ne2 isey1 direct2 karne1 ka1 acha1 kaam1 kiya1 
I2 have2 seen2 a2 few2 of2 his2 moveis2 	maine1 uski1 kuch1 movies1 dekhi1 hain1 
He2 killed2 it2 with2 this2 one2 	is2 movie2 mein1 He1 killed2 it2 
he2 does2 a2 great2 job2 with2 directing2 	unhone1 tho1 directing2 ka1 badiya1 job1 kiya1 
I2 agree2 with2 you1 	mein1 bhi1 aapko1 agree1 kartha1 
Eisenberg2 played2 a2 good2 Lex2 Luther2 too2 	eisenberg2 neh2 ache1 lex2 luther1 ka1 play1 kiya1 
Hi1 	namaskar1 
hey1 ! 	hey1 ! 
Have2 you2 seen2 " Real2 steel2 "? 	kya1 tumne1 " Real2 steel2 " dekha1 ? 
A2 2011 movie2 	2011 ki1 movie2 
not2 yet2 , am2 intrested2 to2 watch2 .. 	abhi1 nahi1 , par1 mei1 dekhane1 mei2 intrerated2 hui2 . 
if2 am2 able2 to2 get2 some2 details2 .. 	dati1 mei1 kuch1 jankari1 lene1 ke1 kam1 aau1 . 
Ok1 , let1 me1 run1 you2 through2 the2 cast2 	thik1 hai1 , tum1 mujhe1 cast1 ke2 through1 chalane1 do1 
ok1 ... 	thik1 hai1 .. 
It2 stars2 the2 following2 people2 , Hugh2 Jackman2 , Evangeline2 Lilly2 , Olga2 Fonda2 among2 others2 	isme1 ye1 log1 star1 hai1 Hugh2 Jackman2 , Evangeline2 Lilly2 , Olga2 Fonda2 or1 dusre1 bhi1 
It2 is2 more2 of2 Science2 / Sport2 movie2 	ye1 jyada1 Science1 / Sport2 movie2 hai1 
oh1 .... ok1 	oh1 ..... ok1 
by2 hearing2 thecast2 , it2 looks2 	jese1 hi1 thecast2 suna1 , usne1 dekha1 
intresting2 ... 	intresting2 
It2 is2 based2 on2 the2 story2 " steel2 " written2 by2 Richard2 Matheson2 	ye1 " steel2 " story2 par1 based2 hai1 Richard2 Matheson2 dwara1 likhi1 hui1 
